ProjectNumber,ProjectName,ProjectType,CurrentStatus,ProgramName,MetricCategory,MetricDetail1,MetricDetail2,MetricDetail3,ProposedAnswer,FinalAnswer,UnitTypeName,Action_MetricLevel,ActionSummary_MetricLevel
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,0.00,0.00,Acres,Cultural,Human
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Miles of Shoreline Treated for armor modification/removal (C.9.k.2),,0.00,0.05,Miles,Remove Armor,Shoreline Restoration
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,0.0,0.0,Acres,Remove Plants Invasive,Waste
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Acres of Shoreline Treated for armor modification/removal (C.9.k.3),,0.0,0.1,Acres,Remove Armor,Shoreline Restoration
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,0.00,10.32,Acres,,
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,8.00,0.00,Acres,Land Acquisition Easement,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.00,0.00,Miles,,
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,20.00,31.50,Acres,Land Acquisition Fee Simple,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,10.00,10.32,Acres,Land Acquisition Fee Simple,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,0.00,31.50,Acres,,
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,3.00,Number,,
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,7.00,0.00,Acres,Land Acquisition Easement,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Rights,Acres by Acreage Type (rights),,5.00,0.00,Acres,Land Acquisition Rights,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Rights,Acres by Acreage Type (rights),,7.00,0.00,Acres,Land Acquisition Rights,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Rights,Acres by Acreage Type (rights),,8.00,0.00,Acres,Land Acquisition Rights,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,50.00,41.82,Acres,,
07-1660,Tarboo-Dabob Bay Acquisition and Restoration,A,Closed Comp,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,5.00,0.00,Acres,Land Acquisition Easement,Acquisition
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,0,10,Number,Incidentals,Unspecified
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,9.90,9.10,Acres,Land Acquisition Fee Simple,Acquisition
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,0.90,0.90,Acres,Land Acquisition Easement,Acquisition
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,0.00,0.75,Acres,Land Acquisition Fee Simple,Acquisition
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,0.00,11.55,Acres,,
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.20,Number,,
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,10.80,11.25,Acres,,
07-1717,Chimacum Creek S. Curve,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.20,0.63,Miles,,
07-1915,Dosewallips & Duckabush ELJ Design,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1915,Dosewallips & Duckabush ELJ Design,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.70,Number,,
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Dike Or berm modification / removal (C.9.d.1),Acres of Habitat Made Available To Salmonids through dike or berm modification/removal (C.9.d.3),,0.0,0.0,Acres,Remove Dike,Fish Passage / Flood Protection
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Fish Passage Improvement,Square Miles Of streambed made accessible (C.2.b.2),,,0.0,0.0,Sq Miles,,
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,1.0,1.0,Acres,,
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Acres of Shoreline Treated for armor modification/removal (C.9.k.3),,0.0,0.0,Acres,Remove Armor,Shoreline Restoration
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Miles of Shoreline Treated for armor modification/removal (C.9.k.2),,0.00,0.00,Miles,Remove Armor,Shoreline Restoration
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,General restoration activities,Restoration signs,Number of signs installed,,2,0,Number,Infrastructure,Human
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Dike Or berm modification / removal (C.9.d.1),Miles Of Dikes Removed (C.9.d.2),,0.00,0.00,Miles,Remove Dike,Fish Passage / Flood Protection
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Number of Blockages/Impediments/Barriers Removed/Altered (C.2.c.2),,0,0,Number,Remove Blockage,Fish Passage
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Fish Passage Improvement,Miles Of Stream Made Accessible (C.2.b.1),,,0.00,0.00,Miles,,
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Creation of new estuarine area (C.9.q.1),Acres of Estuary Created (C.9.q.2),,0.0,0.0,Acres,Estuary Made / Floodplain Improved,Summary Metric
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Estuarine plant removal / control (C.9.j.1),Acres of Estuary Treated for plant removal/control (C.9.j.3),,1.0,1.0,Acres,Remove Plants Invasive,Waste
07-1916,Lower Dosewallips Floodplain & Estuary Restoration,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,2.00,Number,,
07-1925,Skokomish Confluence Reach Restoration Design,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1925,Skokomish Confluence Reach Restoration Design,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Incidentals,Stewardship plan,Acres included in the stewardship plan,,240.00,139.00,Acres,Stewardship,Human
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Incidentals,Survey (Acq),Acres surveyed,,240.00,0.00,Acres,Survey,Assessment
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,1,0,Number,Incidentals,Unspecified
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,40.00,61.60,Acres,Land Acquisition Easement,Acquisition
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Easement,Acres by Acreage Type (easement),,316.00,196.50,Acres,Land Acquisition Easement,Acquisition
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Easement,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Project Acquisition,Project acres by purpose type,,,240.00,258.01,Acres,,
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Project Acres Acquired,,,356.00,258.10,Acres,,
07-2021,Union River and Bear Creek Headwaters,A,Closed Comp,SALMON ST PROJ,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,1.16,3.45,Miles,,
07-1729,Chico Estuary Restoration--Survey Phase,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1729,Chico Estuary Restoration--Survey Phase,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,20,Number,,
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,0.00,34.50,Acres,,
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Acres Of Land,0.0,0.0,Acres,Land Acquisition Conservation,Acquisition
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,25.75,25.75,Acres,Land Acquisition Fee Simple,Acquisition
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,0.14,0.14,Miles,,
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Acquisition or lease of land,wetland or estuarine for conservation (C.10.c.1),Miles Of Streambank Protected By Land or Easement Acquisition (C.10.c.5),0.00,0.00,Miles,Land Acquisition Conservation,Acquisition
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.30,Number,,
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,34.50,34.50,Acres,,
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,6.00,6.00,Acres,Land Acquisition Fee Simple,Acquisition
07-1766,Pilot Point Fee Acquisition,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,2.75,2.75,Acres,Land Acquisition Fee Simple,Acquisition
07-1843,Chico Estuary: Owen Project,P,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1843,Chico Estuary: Owen Project,P,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,R,Closed Comp,PSAR,Fish Passage Improvement,Culvert installed or improved (C.2.f.1),Miles of stream made accessible by culvert installation/repair (C.2.f.3),,5.50,2.75,Miles,Culvert Installed,Fish Passage
07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Average stream width,in feet,12,12,Feet,Remove Blockage,Fish Passage
07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,R,Closed Comp,PSAR,Fish Passage Improvement,Miles Of Stream Made Accessible (C.2.b.1),,,5.50,2.75,Miles,,
07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,R,Closed Comp,PSAR,Fish Passage Improvement,Square Miles Of streambed made accessible (C.2.b.2),,,0.0,0.0,Sq Miles,,
07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,R,Closed Comp,PSAR,Fish Passage Improvement,Road-crossing removal (C.2.i.1),Miles of stream made accessible by road crossing removal (C.2.i.3),,0.00,0.00,Miles,Infrastructure,Human
07-1880,Barker Creek Estuary Culvert Replacement - Phase 2,R,Closed Comp,PSAR,Fish Passage Improvement,Fish passage blockages removed or altered (C.2.c.1),Number of Blockages/Impediments/Barriers Removed/Altered (C.2.c.2),,1,1,Number,Remove Blockage,Fish Passage
